"BehaviorSpace results (NetLogo 6.0.3)"
"flu_city.nlogo"
"model_exploration"
"05/14/2018 16:41:50:461 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","initial_people","seed_infected_probability","num_days","transmission_probability","num_days_infected","log_transmission?","[step]","count people with [recovered?]","log_peak_day","log_peak_prevalence"
"5","800","0.05","50","0.01","4","false","1199","732","5","225"
"3","800","0.1","50","0.08","4","false","1199","800","0","694"
"6","800","0.1","50","0.01","4","false","1199","745","4","271"
"8","800","0.05","50","0.012","4","false","1199","764","5","294"
"4","800","0.01","50","0.01","4","false","1199","731","9","223"
"7","800","0.01","50","0.012","4","false","1199","767","8","319"
"2","800","0.05","50","0.08","4","false","1199","800","1","620"
"1","800","0.01","50","0.08","4","false","1199","800","1","649"
"9","800","0.1","50","0.012","4","false","1199","760","3","349"
"10","800","0.01","50","0.08","6","false","1199","800","1","694"
"11","800","0.05","50","0.08","6","false","1199","800","1","702"
"12","800","0.1","50","0.08","6","false","1199","800","1","705"
"14","800","0.05","50","0.01","6","false","1199","785","6","364"
"13","800","0.01","50","0.01","6","false","1199","772","10","335"
"15","800","0.1","50","0.01","6","false","1199","790","5","398"
"16","800","0.01","50","0.012","6","false","1199","787","8","373"
"17","800","0.05","50","0.012","6","false","1199","787","5","425"
"18","800","0.1","50","0.012","6","false","1199","795","4","416"
"20","800","0.05","50","0.08","8","false","1199","800","1","700"
"19","800","0.01","50","0.08","8","false","1199","798","1","717"
"21","800","0.1","50","0.08","8","false","1199","796","0","725"
"23","800","0.05","50","0.01","8","false","1199","798","5","439"
"22","800","0.01","50","0.01","8","false","1199","791","10","426"
"24","800","0.1","50","0.01","8","false","1199","795","5","432"
"25","800","0.01","50","0.012","8","false","1199","795","8","422"
"26","800","0.05","50","0.012","8","false","1199","792","5","458"
"27","800","0.1","50","0.012","8","false","1199","792","4","469"
"28","800","0.01","50","0.08","4","false","1199","800","1","623"
"29","800","0.05","50","0.08","4","false","1199","800","1","656"
"30","800","0.1","50","0.08","4","false","1199","800","0","665"
"31","800","0.01","50","0.01","4","false","1199","732","6","252"
"32","800","0.05","50","0.01","4","false","1199","724","7","239"
