"BehaviorSpace results (NetLogo 6.0.3)"
"flu_city.nlogo"
"model_exploration"
"05/14/2018 16:30:07:017 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","initial_people","seed_infected_probability","num_days","transmission_probability","num_days_infected","log_transmission?","[step]","count people with [recovered?]","log_peak_day","log_peak_prevalence"
"6","800","0.001","50","0.08","6","false","1199","0","0","0"
"7","800","0.001","50","0.08","6","false","1199","800","0","0"
"8","800","0.001","50","0.08","6","false","1199","799","0","0"
"5","800","0.001","50","0.08","4","false","1199","0","0","0"
"3","800","0.001","50","0.08","4","false","1199","800","0","0"
"4","800","0.001","50","0.08","4","false","1199","0","0","0"
"2","800","0.001","50","0.08","4","false","1199","800","0","0"
"1","800","0.001","50","0.08","4","false","1199","0","0","0"
"11","800","0.001","50","0.08","8","false","1199","0","0","0"
"9","800","0.001","50","0.08","6","false","1199","799","0","0"
"13","800","0.001","50","0.08","8","false","1199","0","0","0"
"10","800","0.001","50","0.08","6","false","1199","800","0","0"
"15","800","0.001","50","0.08","8","false","1199","0","0","0"
"12","800","0.001","50","0.08","8","false","1199","800","0","0"
"14","800","0.001","50","0.08","8","false","1199","799","0","0"
"16","800","0.001","50","0.01","4","false","1199","0","0","0"
"18","800","0.001","50","0.01","4","false","1199","0","0","0"
"17","800","0.001","50","0.01","4","false","1199","724","0","0"
"19","800","0.001","50","0.01","4","false","1199","0","0","0"
"20","800","0.001","50","0.01","4","false","1199","744","0","0"
"21","800","0.001","50","0.01","6","false","1199","0","0","0"
"22","800","0.001","50","0.01","6","false","1199","781","0","0"
"23","800","0.001","50","0.01","6","false","1199","1","0","0"
"24","800","0.001","50","0.01","6","false","1199","0","0","0"
"26","800","0.001","50","0.01","8","false","1199","0","0","0"
"25","800","0.001","50","0.01","6","false","1199","781","0","0"
"27","800","0.001","50","0.01","8","false","1199","0","0","0"
"29","800","0.001","50","0.01","8","false","1199","0","0","0"
"28","800","0.001","50","0.01","8","false","1199","785","0","0"
"30","800","0.001","50","0.01","8","false","1199","792","0","0"
"31","800","0.001","50","0.012","4","false","1199","760","0","0"
"32","800","0.001","50","0.012","4","false","1199","5","0","0"
"33","800","0.001","50","0.012","4","false","1199","0","0","0"
"34","800","0.001","50","0.012","4","false","1199","0","0","0"
"35","800","0.001","50","0.012","4","false","1199","762","0","0"
"37","800","0.001","50","0.012","6","false","1199","780","0","0"
"36","800","0.001","50","0.012","6","false","1199","788","0","0"
"38","800","0.001","50","0.012","6","false","1199","785","0","0"
"39","800","0.001","50","0.012","6","false","1199","792","0","0"
"40","800","0.001","50","0.012","6","false","1199","0","0","0"
"42","800","0.001","50","0.012","8","false","1199","0","0","0"
"41","800","0.001","50","0.012","8","false","1199","789","0","0"
"43","800","0.001","50","0.012","8","false","1199","792","0","0"
"44","800","0.001","50","0.012","8","false","1199","1","0","0"
"46","800","0.01","50","0.08","4","false","1199","800","0","0"
"45","800","0.001","50","0.012","8","false","1199","785","0","0"
"47","800","0.01","50","0.08","4","false","1199","800","0","0"
"48","800","0.01","50","0.08","4","false","1199","800","0","0"
"49","800","0.01","50","0.08","4","false","1199","800","0","0"
"50","800","0.01","50","0.08","4","false","1199","800","0","0"
"51","800","0.01","50","0.08","6","false","1199","800","0","0"
"52","800","0.01","50","0.08","6","false","1199","800","0","0"
"53","800","0.01","50","0.08","6","false","1199","799","0","0"
"54","800","0.01","50","0.08","6","false","1199","800","0","0"
"55","800","0.01","50","0.08","6","false","1199","800","0","0"
"58","800","0.01","50","0.08","8","false","1199","800","0","0"
"56","800","0.01","50","0.08","8","false","1199","797","0","0"
"57","800","0.01","50","0.08","8","false","1199","800","0","0"
"60","800","0.01","50","0.08","8","false","1199","797","0","0"
"59","800","0.01","50","0.08","8","false","1199","798","0","0"
"61","800","0.01","50","0.01","4","false","1199","724","0","0"
"63","800","0.01","50","0.01","4","false","1199","743","0","0"
"62","800","0.01","50","0.01","4","false","1199","725","0","0"
"64","800","0.01","50","0.01","4","false","1199","745","0","0"
"66","800","0.01","50","0.01","6","false","1199","787","0","0"
"65","800","0.01","50","0.01","4","false","1199","735","0","0"
"67","800","0.01","50","0.01","6","false","1199","777","0","0"
"68","800","0.01","50","0.01","6","false","1199","783","0","0"
"69","800","0.01","50","0.01","6","false","1199","783","0","0"
