"BehaviorSpace results (NetLogo 6.0.3)"
"flu_city_vaccine.nlogo"
"coverage"
"05/15/2018 23:30:46:695 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial_people","seed_infected_probability","num_days","transmission_probability","num_days_infected","log_transmission?","vaccine_coverage","vaccine_efficacy","[step]","count people with [infected?]","count people with [recovered?]","current_hour","current_day","day_of_week"
"3","2500","0.05","75","0.005","6","false","0","0.65","1799","12","1494","0","75","6"
"2","2500","0.05","75","0.005","6","false","0","0.65","1799","1","1673","0","75","6"
"5","2500","0.05","75","0.005","6","false","0","0.65","1799","4","1463","0","75","6"
"8","2500","0.05","75","0.005","6","false","0","0.65","1799","9","1592","0","75","6"
"7","2500","0.05","75","0.005","6","false","0","0.65","1799","5","1475","0","75","6"
"4","2500","0.05","75","0.005","6","false","0","0.65","1799","11","1581","0","75","6"
"6","2500","0.05","75","0.005","6","false","0","0.65","1799","17","1616","0","75","6"
"1","2500","0.05","75","0.005","6","false","0","0.65","1799","9","1495","0","75","6"
"11","2500","0.05","75","0.005","6","false","0","0.65","1799","9","1473","0","75","6"
"12","2500","0.05","75","0.005","6","false","0","0.65","1799","5","1662","0","75","6"
"13","2500","0.05","75","0.005","6","false","0","0.65","1799","5","1623","0","75","6"
"14","2500","0.05","75","0.005","6","false","0","0.65","1799","24","1470","0","75","6"
"9","2500","0.05","75","0.005","6","false","0","0.65","1799","2","1614","0","75","6"
"10","2500","0.05","75","0.005","6","false","0","0.65","1799","11","1428","0","75","6"
"15","2500","0.05","75","0.005","6","false","0","0.65","1799","2","1560","0","75","6"
"16","2500","0.05","75","0.005","6","false","0","0.65","1799","7","1495","0","75","6"
"17","2500","0.05","75","0.005","6","false","0.1","0.65","1799","1","1301","0","75","6"
"20","2500","0.05","75","0.005","6","false","0.1","0.65","1799","8","1264","0","75","6"
"19","2500","0.05","75","0.005","6","false","0.1","0.65","1799","14","1327","0","75","6"
"22","2500","0.05","75","0.005","6","false","0.1","0.65","1799","2","1553","0","75","6"
"18","2500","0.05","75","0.005","6","false","0.1","0.65","1799","8","1482","0","75","6"
"21","2500","0.05","75","0.005","6","false","0.1","0.65","1799","4","1486","0","75","6"
"23","2500","0.05","75","0.005","6","false","0.1","0.65","1799","6","1416","0","75","6"
"24","2500","0.05","75","0.005","6","false","0.1","0.65","1799","5","1455","0","75","6"
"25","2500","0.05","75","0.005","6","false","0.1","0.65","1799","0","1413","0","75","6"
"28","2500","0.05","75","0.005","6","false","0.1","0.65","1799","2","1059","0","75","6"
"27","2500","0.05","75","0.005","6","false","0.1","0.65","1799","8","1361","0","75","6"
"30","2500","0.05","75","0.005","6","false","0.1","0.65","1799","4","1454","0","75","6"
"31","2500","0.05","75","0.005","6","false","0.1","0.65","1799","3","1420","0","75","6"
"29","2500","0.05","75","0.005","6","false","0.1","0.65","1799","11","1418","0","75","6"
"26","2500","0.05","75","0.005","6","false","0.1","0.65","1799","12","1400","0","75","6"
"32","2500","0.05","75","0.005","6","false","0.1","0.65","1799","3","1379","0","75","6"
"34","2500","0.05","75","0.005","6","false","0.2","0.65","1799","8","1166","0","75","6"
"35","2500","0.05","75","0.005","6","false","0.2","0.65","1799","13","1188","0","75","6"
"33","2500","0.05","75","0.005","6","false","0.2","0.65","1799","2","956","0","75","6"
"36","2500","0.05","75","0.005","6","false","0.2","0.65","1799","2","1245","0","75","6"
"38","2500","0.05","75","0.005","6","false","0.2","0.65","1799","11","1270","0","75","6"
"37","2500","0.05","75","0.005","6","false","0.2","0.65","1799","13","1114","0","75","6"
"39","2500","0.05","75","0.005","6","false","0.2","0.65","1799","18","972","0","75","6"
"40","2500","0.05","75","0.005","6","false","0.2","0.65","1799","6","1145","0","75","6"
"41","2500","0.05","75","0.005","6","false","0.2","0.65","1799","4","1063","0","75","6"
"46","2500","0.05","75","0.005","6","false","0.2","0.65","1799","4","1010","0","75","6"
"43","2500","0.05","75","0.005","6","false","0.2","0.65","1799","7","1078","0","75","6"
"42","2500","0.05","75","0.005","6","false","0.2","0.65","1799","1","1284","0","75","6"
"44","2500","0.05","75","0.005","6","false","0.2","0.65","1799","1","1067","0","75","6"
"45","2500","0.05","75","0.005","6","false","0.2","0.65","1799","1","1154","0","75","6"
"47","2500","0.05","75","0.005","6","false","0.2","0.65","1799","0","1136","0","75","6"
"48","2500","0.05","75","0.005","6","false","0.2","0.65","1799","4","1043","0","75","6"
"49","2500","0.05","75","0.005","6","false","0.3","0.65","1799","8","1167","0","75","6"
"50","2500","0.05","75","0.005","6","false","0.3","0.65","1799","8","871","0","75","6"
"51","2500","0.05","75","0.005","6","false","0.3","0.65","1799","10","1048","0","75","6"
"52","2500","0.05","75","0.005","6","false","0.3","0.65","1799","9","943","0","75","6"
"53","2500","0.05","75","0.005","6","false","0.3","0.65","1799","6","986","0","75","6"
"54","2500","0.05","75","0.005","6","false","0.3","0.65","1799","12","839","0","75","6"
"55","2500","0.05","75","0.005","6","false","0.3","0.65","1799","15","1092","0","75","6"
"56","2500","0.05","75","0.005","6","false","0.3","0.65","1799","15","889","0","75","6"
"57","2500","0.05","75","0.005","6","false","0.3","0.65","1799","15","923","0","75","6"
"58","2500","0.05","75","0.005","6","false","0.3","0.65","1799","26","873","0","75","6"
"59","2500","0.05","75","0.005","6","false","0.3","0.65","1799","17","1228","0","75","6"
"60","2500","0.05","75","0.005","6","false","0.3","0.65","1799","7","885","0","75","6"
"62","2500","0.05","75","0.005","6","false","0.3","0.65","1799","4","1123","0","75","6"
"61","2500","0.05","75","0.005","6","false","0.3","0.65","1799","17","929","0","75","6"
"63","2500","0.05","75","0.005","6","false","0.3","0.65","1799","6","1005","0","75","6"
"64","2500","0.05","75","0.005","6","false","0.3","0.65","1799","14","984","0","75","6"
"65","2500","0.05","75","0.005","6","false","0.4","0.65","1799","2","849","0","75","6"
"66","2500","0.05","75","0.005","6","false","0.4","0.65","1799","6","1000","0","75","6"
"68","2500","0.05","75","0.005","6","false","0.4","0.65","1799","0","830","0","75","6"
"67","2500","0.05","75","0.005","6","false","0.4","0.65","1799","0","954","0","75","6"
"69","2500","0.05","75","0.005","6","false","0.4","0.65","1799","4","780","0","75","6"
"70","2500","0.05","75","0.005","6","false","0.4","0.65","1799","4","845","0","75","6"
"71","2500","0.05","75","0.005","6","false","0.4","0.65","1799","6","852","0","75","6"
"72","2500","0.05","75","0.005","6","false","0.4","0.65","1799","4","865","0","75","6"
"73","2500","0.05","75","0.005","6","false","0.4","0.65","1799","2","805","0","75","6"
"76","2500","0.05","75","0.005","6","false","0.4","0.65","1799","13","741","0","75","6"
"75","2500","0.05","75","0.005","6","false","0.4","0.65","1799","3","739","0","75","6"
"74","2500","0.05","75","0.005","6","false","0.4","0.65","1799","5","886","0","75","6"
"77","2500","0.05","75","0.005","6","false","0.4","0.65","1799","4","848","0","75","6"
"78","2500","0.05","75","0.005","6","false","0.4","0.65","1799","1","833","0","75","6"
"79","2500","0.05","75","0.005","6","false","0.4","0.65","1799","4","1013","0","75","6"
"80","2500","0.05","75","0.005","6","false","0.4","0.65","1799","16","849","0","75","6"
"81","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","561","0","75","6"
"82","2500","0.05","75","0.005","6","false","0.5","0.65","1799","9","827","0","75","6"
"83","2500","0.05","75","0.005","6","false","0.5","0.65","1799","9","820","0","75","6"
"84","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","640","0","75","6"
"85","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","721","0","75","6"
"86","2500","0.05","75","0.005","6","false","0.5","0.65","1799","3","721","0","75","6"
"87","2500","0.05","75","0.005","6","false","0.5","0.65","1799","5","594","0","75","6"
"88","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","692","0","75","6"
"89","2500","0.05","75","0.005","6","false","0.5","0.65","1799","17","699","0","75","6"
"92","2500","0.05","75","0.005","6","false","0.5","0.65","1799","4","767","0","75","6"
"90","2500","0.05","75","0.005","6","false","0.5","0.65","1799","10","641","0","75","6"
"91","2500","0.05","75","0.005","6","false","0.5","0.65","1799","8","782","0","75","6"
"95","2500","0.05","75","0.005","6","false","0.5","0.65","1799","7","949","0","75","6"
"93","2500","0.05","75","0.005","6","false","0.5","0.65","1799","9","882","0","75","6"
"94","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","743","0","75","6"
"96","2500","0.05","75","0.005","6","false","0.5","0.65","1799","0","516","0","75","6"
