"BehaviorSpace results (NetLogo 6.0.3)"
"flu_city_vaccine.nlogo"
"exploration"
"05/16/2018 00:00:13:475 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial_people","seed_infected_probability","num_days","transmission_probability","num_days_infected","log_transmission?","vaccine_coverage","vaccine_efficacy","[step]","count people with [infected?]","count people with [recovered?]","current_hour","current_day","day_of_week","log_peak_day","log_peak_prevalence"
"5","2500","0.03","75","0.003","4","false","0","0","1799","0","236","0","75","6","0","87"
"7","2500","0.03","75","0.003","6","false","0","0","1799","6","533","0","75","6","4","92"
"3","2500","0.03","75","0.003","4","false","0","0","1799","0","183","0","75","6","0","74"
"2","2500","0.03","75","0.003","4","false","0","0","1799","0","195","0","75","6","0","79"
"4","2500","0.03","75","0.003","4","false","0","0","1799","0","184","0","75","6","0","74"
"8","2500","0.03","75","0.003","6","false","0","0","1799","0","382","0","75","6","4","99"
"6","2500","0.03","75","0.003","6","false","0","0","1799","7","350","0","75","6","4","71"
"1","2500","0.03","75","0.003","4","false","0","0","1799","0","235","0","75","6","1","90"
"9","2500","0.03","75","0.003","6","false","0","0","1799","0","446","0","75","6","5","113"
"10","2500","0.03","75","0.003","6","false","0","0","1799","0","261","0","75","6","0","70"
"11","2500","0.03","75","0.003","8","false","0","0","1799","52","911","0","75","6","19","172"
"14","2500","0.03","75","0.003","8","false","0","0","1799","50","694","0","75","6","11","112"
"13","2500","0.03","75","0.003","8","false","0","0","1799","59","767","0","75","6","33","117"
"12","2500","0.03","75","0.003","8","false","0","0","1799","70","863","0","75","6","39","131"
"15","2500","0.03","75","0.003","8","false","0","0","1799","39","1018","0","75","6","24","168"
"16","2500","0.03","75","0.005","4","false","0","0","1799","0","801","0","75","6","4","128"
"17","2500","0.03","75","0.005","4","false","0","0","1799","0","745","0","75","6","11","115"
"18","2500","0.03","75","0.005","4","false","0","0","1799","4","468","0","75","6","4","107"
"19","2500","0.03","75","0.005","4","false","0","0","1799","12","646","0","75","6","5","136"
"20","2500","0.03","75","0.005","4","false","0","0","1799","0","652","0","75","6","4","133"
"22","2500","0.03","75","0.005","6","false","0","0","1799","11","1479","0","75","6","18","254"
"21","2500","0.03","75","0.005","6","false","0","0","1799","13","1450","0","75","6","18","230"
"23","2500","0.03","75","0.005","6","false","0","0","1799","31","1417","0","75","6","11","216"
"24","2500","0.03","75","0.005","6","false","0","0","1799","33","1519","0","75","6","18","267"
"25","2500","0.03","75","0.005","6","false","0","0","1799","14","1519","0","75","6","12","247"
"26","2500","0.03","75","0.005","8","false","0","0","1799","20","1974","0","75","6","19","469"
"27","2500","0.03","75","0.005","8","false","0","0","1799","45","1921","0","75","6","26","381"
"28","2500","0.03","75","0.005","8","false","0","0","1799","15","1990","0","75","6","18","406"
"30","2500","0.03","75","0.005","8","false","0","0","1799","16","2009","0","75","6","18","468"
"29","2500","0.03","75","0.005","8","false","0","0","1799","22","1976","0","75","6","19","464"
"31","2500","0.03","75","0.007","4","false","0","0","1799","0","1478","0","75","6","11","228"
"32","2500","0.03","75","0.007","4","false","0","0","1799","0","1447","0","75","6","18","219"
"33","2500","0.03","75","0.007","4","false","0","0","1799","0","1356","0","75","6","12","231"
"35","2500","0.03","75","0.007","4","false","0","0","1799","0","1326","0","75","6","9","228"
"36","2500","0.03","75","0.007","6","false","0","0","1799","0","2017","0","75","6","11","513"
"34","2500","0.03","75","0.007","4","false","0","0","1799","0","1395","0","75","6","11","216"
"38","2500","0.03","75","0.007","6","false","0","0","1799","0","1991","0","75","6","18","502"
"37","2500","0.03","75","0.007","6","false","0","0","1799","8","2041","0","75","6","12","434"
"39","2500","0.03","75","0.007","6","false","0","0","1799","3","2013","0","75","6","11","478"
"40","2500","0.03","75","0.007","6","false","0","0","1799","3","2045","0","75","6","11","479"
"41","2500","0.03","75","0.007","8","false","0","0","1799","4","2308","0","75","6","17","824"
"43","2500","0.03","75","0.007","8","false","0","0","1799","2","2294","0","75","6","18","737"
"42","2500","0.03","75","0.007","8","false","0","0","1799","3","2283","0","75","6","17","723"
"46","2500","0.05","75","0.003","4","false","0","0","1799","0","321","0","75","6","0","126"
"44","2500","0.03","75","0.007","8","false","0","0","1799","6","2281","0","75","6","18","754"
"47","2500","0.05","75","0.003","4","false","0","0","1799","0","343","0","75","6","0","150"
"45","2500","0.03","75","0.007","8","false","0","0","1799","1","2342","0","75","6","15","823"
"48","2500","0.05","75","0.003","4","false","0","0","1799","1","320","0","75","6","1","129"
"49","2500","0.05","75","0.003","4","false","0","0","1799","0","306","0","75","6","0","120"
"50","2500","0.05","75","0.003","4","false","0","0","1799","0","329","0","75","6","0","140"
"51","2500","0.05","75","0.003","6","false","0","0","1799","0","449","0","75","6","3","137"
"53","2500","0.05","75","0.003","6","false","0","0","1799","0","508","0","75","6","2","123"
"52","2500","0.05","75","0.003","6","false","0","0","1799","1","619","0","75","6","0","141"
"54","2500","0.05","75","0.003","6","false","0","0","1799","6","548","0","75","6","1","136"
"55","2500","0.05","75","0.003","6","false","0","0","1799","3","680","0","75","6","3","148"
"56","2500","0.05","75","0.003","8","false","0","0","1799","35","933","0","75","6","7","168"
"57","2500","0.05","75","0.003","8","false","0","0","1799","6","852","0","75","6","12","172"
"58","2500","0.05","75","0.003","8","false","0","0","1799","32","1137","0","75","6","9","205"
"59","2500","0.05","75","0.003","8","false","0","0","1799","55","1202","0","75","6","24","192"
"60","2500","0.05","75","0.003","8","false","0","0","1799","49","897","0","75","6","3","156"
"62","2500","0.05","75","0.005","4","false","0","0","1799","0","782","0","75","6","4","173"
"61","2500","0.05","75","0.005","4","false","0","0","1799","0","864","0","75","6","4","184"
"63","2500","0.05","75","0.005","4","false","0","0","1799","0","766","0","75","6","4","137"
"64","2500","0.05","75","0.005","4","false","0","0","1799","0","704","0","75","6","2","157"
"65","2500","0.05","75","0.005","4","false","0","0","1799","0","548","0","75","6","0","133"
"66","2500","0.05","75","0.005","6","false","0","0","1799","1","1417","0","75","6","11","313"
"67","2500","0.05","75","0.005","6","false","0","0","1799","5","1396","0","75","6","12","231"
"68","2500","0.05","75","0.005","6","false","0","0","1799","12","1417","0","75","6","10","287"
"69","2500","0.05","75","0.005","6","false","0","0","1799","10","1623","0","75","6","11","305"
"70","2500","0.05","75","0.005","6","false","0","0","1799","2","1520","0","75","6","16","274"
"71","2500","0.05","75","0.005","8","false","0","0","1799","15","2039","0","75","6","17","532"
"72","2500","0.05","75","0.005","8","false","0","0","1799","21","2051","0","75","6","18","498"
"73","2500","0.05","75","0.005","8","false","0","0","1799","14","1990","0","75","6","18","474"
"74","2500","0.05","75","0.005","8","false","0","0","1799","5","2041","0","75","6","18","527"
"76","2500","0.05","75","0.007","4","false","0","0","1799","0","1481","0","75","6","4","328"
"75","2500","0.05","75","0.005","8","false","0","0","1799","6","2002","0","75","6","11","503"
"78","2500","0.05","75","0.007","4","false","0","0","1799","0","1476","0","75","6","9","278"
"77","2500","0.05","75","0.007","4","false","0","0","1799","0","1485","0","75","6","10","288"
"79","2500","0.05","75","0.007","4","false","0","0","1799","0","1328","0","75","6","5","289"
"80","2500","0.05","75","0.007","4","false","0","0","1799","0","1304","0","75","6","4","223"
"81","2500","0.05","75","0.007","6","false","0","0","1799","1","2042","0","75","6","15","502"
"82","2500","0.05","75","0.007","6","false","0","0","1799","1","2143","0","75","6","18","539"
"83","2500","0.05","75","0.007","6","false","0","0","1799","1","2046","0","75","6","12","511"
"84","2500","0.05","75","0.007","6","false","0","0","1799","0","2094","0","75","6","11","584"
"85","2500","0.05","75","0.007","6","false","0","0","1799","1","2022","0","75","6","17","485"
"87","2500","0.05","75","0.007","8","false","0","0","1799","2","2308","0","75","6","15","764"
"86","2500","0.05","75","0.007","8","false","0","0","1799","5","2327","0","75","6","11","871"
"88","2500","0.05","75","0.007","8","false","0","0","1799","1","2315","0","75","6","11","783"
"89","2500","0.05","75","0.007","8","false","0","0","1799","2","2300","0","75","6","11","796"
"90","2500","0.05","75","0.007","8","false","0","0","1799","3","2304","0","75","6","11","730"
"91","2500","0.07","75","0.003","4","false","0","0","1799","0","491","0","75","6","0","184"
"92","2500","0.07","75","0.003","4","false","0","0","1799","0","313","0","75","6","0","153"
"93","2500","0.07","75","0.003","4","false","0","0","1799","0","415","0","75","6","0","183"
"94","2500","0.07","75","0.003","4","false","0","0","1799","0","476","0","75","6","0","192"
"95","2500","0.07","75","0.003","4","false","0","0","1799","0","380","0","75","6","0","174"
"96","2500","0.07","75","0.003","6","false","0","0","1799","1","693","0","75","6","2","184"
"97","2500","0.07","75","0.003","6","false","0","0","1799","0","783","0","75","6","5","197"
"99","2500","0.07","75","0.003","6","false","0","0","1799","1","603","0","75","6","3","158"
"100","2500","0.07","75","0.003","6","false","0","0","1799","2","773","0","75","6","5","194"
"98","2500","0.07","75","0.003","6","false","0","0","1799","8","837","0","75","6","4","210"
"102","2500","0.07","75","0.003","8","false","0","0","1799","28","1124","0","75","6","4","225"
"101","2500","0.07","75","0.003","8","false","0","0","1799","12","1012","0","75","6","4","267"
"103","2500","0.07","75","0.003","8","false","0","0","1799","34","1328","0","75","6","10","278"
"104","2500","0.07","75","0.003","8","false","0","0","1799","23","1085","0","75","6","4","225"
"105","2500","0.07","75","0.003","8","false","0","0","1799","20","1180","0","75","6","11","262"
"108","2500","0.07","75","0.005","4","false","0","0","1799","0","666","0","75","6","0","192"
"106","2500","0.07","75","0.005","4","false","0","0","1799","0","826","0","75","6","4","192"
"107","2500","0.07","75","0.005","4","false","0","0","1799","0","922","0","75","6","4","228"
"109","2500","0.07","75","0.005","4","false","0","0","1799","0","952","0","75","6","4","238"
"110","2500","0.07","75","0.005","4","false","0","0","1799","2","791","0","75","6","2","207"
"111","2500","0.07","75","0.005","6","false","0","0","1799","4","1604","0","75","6","11","329"
"112","2500","0.07","75","0.005","6","false","0","0","1799","4","1635","0","75","6","11","401"
"113","2500","0.07","75","0.005","6","false","0","0","1799","1","1733","0","75","6","10","416"
"114","2500","0.07","75","0.005","6","false","0","0","1799","2","1546","0","75","6","10","292"
"115","2500","0.07","75","0.005","6","false","0","0","1799","9","1607","0","75","6","9","330"
"116","2500","0.07","75","0.005","8","false","0","0","1799","8","2050","0","75","6","11","570"
"117","2500","0.07","75","0.005","8","false","0","0","1799","1","1984","0","75","6","12","532"
"118","2500","0.07","75","0.005","8","false","0","0","1799","13","1956","0","75","6","11","477"
"119","2500","0.07","75","0.005","8","false","0","0","1799","11","2053","0","75","6","11","543"
"120","2500","0.07","75","0.005","8","false","0","0","1799","3","2062","0","75","6","12","580"
"121","2500","0.07","75","0.007","4","false","0","0","1799","0","1527","0","75","6","4","342"
"122","2500","0.07","75","0.007","4","false","0","0","1799","0","1632","0","75","6","5","381"
"123","2500","0.07","75","0.007","4","false","0","0","1799","0","1615","0","75","6","4","381"
"124","2500","0.07","75","0.007","4","false","0","0","1799","0","1485","0","75","6","3","334"
"125","2500","0.07","75","0.007","4","false","0","0","1799","0","1549","0","75","6","4","428"
"126","2500","0.07","75","0.007","6","false","0","0","1799","1","2133","0","75","6","11","643"
"127","2500","0.07","75","0.007","6","false","0","0","1799","6","2045","0","75","6","12","565"
"128","2500","0.07","75","0.007","6","false","0","0","1799","3","2094","0","75","6","11","597"
"129","2500","0.07","75","0.007","6","false","0","0","1799","0","2110","0","75","6","11","621"
"130","2500","0.07","75","0.007","6","false","0","0","1799","2","2070","0","75","6","10","504"
"131","2500","0.07","75","0.007","8","false","0","0","1799","7","2254","0","75","6","11","787"
"132","2500","0.07","75","0.007","8","false","0","0","1799","4","2303","0","75","6","11","841"
"133","2500","0.07","75","0.007","8","false","0","0","1799","2","2320","0","75","6","11","806"
"134","2500","0.07","75","0.007","8","false","0","0","1799","2","2281","0","75","6","10","803"
"135","2500","0.07","75","0.007","8","false","0","0","1799","1","2346","0","75","6","10","873"
