day hour target context tick age_infector age id_infector id
 0 0 households "household" 0 68 10 691 688
 0 0 households "household" 0 56 12 418 419
 0 1 households "household" 1 4 15 263 262
 0 2 households "household" 2 79 7 532 535
 0 3 households "household" 3 13 25 561 562
 0 3 households "household" 3 22 6 273 275
 0 4 households "household" 4 35 4 797 799
 0 4 households "household" 4 40 7 601 603
 0 5 households "household" 5 16 24 828 829
 0 5 households "household" 5 35 15 450 449
 0 8 schools "school" 8 2 13 796 1158
 0 8 schools "school" 8 7 1 603 554
 0 8 schools "school" 8 1 6 306 1099
 0 8 schools "school" 8 4 12 983 685
 0 9 workplaces "workplace" 9 28 77 400 739
 0 9 workplaces "workplace" 9 37 49 655 973
 0 10 schools "community" 10 10 8 688 884
 0 10 schools "school" 10 7 3 535 928
 0 10 schools "school" 10 1 0 554 920
 0 10 schools "school" 10 8 15 283 1026
 0 11 schools "school" 11 13 2 1017 626
 0 11 schools "school" 11 15 11 262 1155
 0 12 schools "school" 12 0 17 1171 738
 0 12 schools "school" 12 4 0 799 330
 0 12 schools "school" 12 0 14 857 526
 0 13 schools "school" 13 0 15 857 876
 0 13 schools "school" 13 12 2 459 801
 0 13 schools "school" 13 7 0 1001 913
 0 13 schools "school" 13 1 11 554 398
 0 14 workplaces "community" 14 43 72 1005 751
 0 15 schools "school" 15 13 6 1158 1033
 0 15 schools "school" 15 4 10 983 804
 0 15 schools "school" 15 17 11 297 1067
 0 15 schools "school" 15 0 11 857 576
 0 16 schools "school" 16 13 2 561 962
 0 21 households "household" 21 1 65 711 708
 0 21 households "household" 21 79 3 532 533
 0 21 households "household" 21 10 50 804 807
 0 23 households "household" 23 43 15 1005 1004
 1 2 households "household" 26 11 43 576 578
 1 3 households "household" 27 64 31 625 627
 1 3 households "household" 27 16 48 728 730
 1 4 households "household" 28 63 65 399 397
 1 4 households "household" 28 0 17 857 858
 1 6 households "household" 30 46 5 265 267
 1 6 households "household" 30 37 13 822 821
 1 6 households "household" 30 35 5 415 413
 1 6 households "household" 30 1 33 306 304
 1 7 households "household" 31 56 1 418 417
 1 7 households "household" 31 28 22 400 403
 1 8 schools "school" 32 15 4 1004 348
 1 8 schools "school" 32 10 4 688 777
 1 8 schools "school" 32 11 15 398 611
 1 8 schools "school" 32 2 8 626 1163
 1 9 schools "school" 33 1 17 306 1198
 1 9 schools "school" 33 13 12 880 628
 1 9 schools "school" 33 14 15 526 1180
 1 9 workplaces "workplace" 33 53 62 1064 452
 1 9 schools "school" 33 0 14 920 974
 1 9 schools "school" 33 12 8 685 775
 1 10 schools "school" 34 11 13 576 1187
 1 10 schools "school" 34 3 14 533 538
 1 10 workplaces "workplace" 34 31 30 627 354
 1 11 schools "school" 35 4 4 983 333
 1 12 schools "school" 36 1 6 711 709
 1 12 schools "school" 36 15 1 876 613
 1 12 schools "school" 36 15 10 449 898
 1 12 schools "school" 36 17 9 1198 992
 1 13 schools "school" 37 12 6 676 939
 1 13 schools "school" 37 10 2 688 1139
 1 13 schools "school" 37 15 15 876 666
 1 13 workplaces "workplace" 37 74 41 430 1102
 1 14 schools "school" 38 3 4 533 437
 1 14 schools "school" 38 15 3 449 1073
 1 14 schools "school" 38 15 11 666 956
 1 14 workplaces "workplace" 38 43 55 578 638
 1 14 schools "community" 38 4 9 777 305
 1 14 schools "school" 38 6 0 939 1047
 1 14 schools "school" 38 2 1 626 633
 1 14 schools "school" 38 15 8 611 379
 1 14 schools "school" 38 15 5 1180 442
 1 15 schools "school" 39 2 7 626 461
 1 15 schools "school" 39 3 2 1073 878
 1 15 schools "school" 39 3 3 533 1016
 1 15 schools "school" 39 14 1 974 454
 1 16 schools "school" 40 11 2 398 338
 1 16 schools "school" 40 4 16 333 1083
 1 16 workplaces "workplace" 40 40 73 601 1183
 1 16 schools "school" 40 2 0 796 549
 1 16 schools "school" 40 5 4 442 295
 1 16 schools "school" 40 4 17 777 1138
 1 17 households "community" 41 66 4 487 484
 1 17 households "community" 41 6 31 1099 1096
 1 19 households "household" 43 14 45 974 972
 1 19 households "community" 43 48 19 730 729
 1 22 households "household" 46 8 6 1163 1161
 1 23 households "household" 47 54 8 766 765
 2 0 households "household" 48 1 0 663 660
 2 0 households "household" 48 12 33 685 684
 2 1 households "household" 49 58 51 548 550
 2 2 households "household" 50 41 12 1102 1101
 2 3 households "household" 51 1 38 613 615
 2 3 households "household" 51 10 5 898 896
 2 4 households "household" 52 2 0 338 337
 2 5 households "household" 53 6 15 1099 1097
 2 6 households "household" 54 16 22 1083 1082
 2 6 households "household" 54 38 52 615 612
 2 6 households "household" 54 15 2 449 451
 2 6 households "household" 54 15 71 449 448
 2 7 households "household" 55 2 69 801 802
 2 7 households "household" 55 17 67 1198 1196
 2 7 households "household" 55 15 27 1026 1025
 2 8 schools "school" 56 1 15 306 395
 2 8 schools "school" 56 12 7 676 353
 2 8 schools "school" 56 3 11 1073 713
 2 8 schools "school" 56 2 15 962 291
 2 8 schools "school" 56 15 6 1004 722
 2 8 workplaces "workplace" 56 25 33 562 921
 2 8 workplaces "workplace" 56 73 37 1183 296
 2 8 schools "school" 56 4 11 348 1126
 2 8 schools "school" 56 14 4 538 923
 2 8 schools "school" 56 0 1 337 623
 2 9 schools "community" 57 1 3 613 453
 2 9 schools "school" 57 4 10 923 658
 2 9 schools "school" 57 0 15 549 1157
 2 9 schools "school" 57 2 13 962 917
 2 9 schools "school" 57 15 5 876 827
 2 9 schools "school" 57 14 17 974 1118
 2 9 schools "school" 57 13 4 561 288
 2 9 schools "school" 57 9 8 305 727
 2 10 workplaces "workplace" 58 37 60 822 1058
 2 10 schools "school" 58 2 3 518 390
 2 10 schools "school" 58 4 17 348 1202
 2 10 schools "school" 58 2 9 626 387
 2 10 schools "school" 58 17 5 1198 508
 2 11 schools "school" 59 17 17 297 1110
 2 11 schools "school" 59 10 16 898 749
 2 11 schools "school" 59 1 10 633 1037
 2 11 schools "school" 59 7 2 353 725
 2 11 workplaces "workplace" 59 79 77 532 989
 2 11 schools "school" 59 13 4 561 673
 2 12 schools "school" 60 5 10 442 596
 2 12 schools "school" 60 17 13 1198 987
 2 12 schools "school" 60 8 16 379 366
 2 12 schools "school" 60 5 8 267 763
 2 12 schools "school" 60 1 2 306 594
 2 13 schools "school" 61 2 12 1139 850
 2 13 schools "school" 61 3 17 928 812
 2 14 schools "school" 62 13 5 880 716
 2 14 schools "school" 62 4 6 295 1066
 2 14 schools "community" 62 11 8 1067 707
 2 14 schools "school" 62 12 3 685 270
 2 14 workplaces "workplace" 62 52 54 612 754
 2 14 schools "school" 62 13 2 987 810
 2 15 schools "school" 63 17 1 1202 475
 2 15 schools "school" 63 13 12 276 272
 2 15 schools "school" 63 12 15 685 574
 2 15 schools "school" 63 0 5 549 292
 2 15 schools "school" 63 4 13 484 1205
 2 15 schools "school" 63 5 7 508 483
 2 15 schools "school" 63 5 4 267 477
 2 16 schools "school" 64 3 11 453 316
 2 16 schools "school" 64 4 10 477 432
 2 16 schools "school" 64 1 5 955 527
 2 16 schools "school" 64 0 13 549 299
 2 16 schools "school" 64 0 4 549 303
 2 16 schools "school" 64 2 4 1139 915
 2 18 households "community" 66 14 38 526 1060
 2 20 households "community" 68 12 0 850 1084
 2 21 households "household" 69 30 9 354 352
 2 21 households "household" 69 27 28 1025 1024
 2 22 households "household" 70 5 55 442 443
 2 23 households "household" 71 2 77 338 336
 2 23 households "household" 71 4 75 437 438
 2 23 households "household" 71 1 10 613 614
 3 0 households "household" 72 11 11 398 396
 3 1 households "household" 73 1 36 633 635
 3 2 households "household" 74 0 8 1084 1086
 3 2 households "household" 74 1 60 623 622
 3 2 households "household" 74 2 25 725 724
 3 3 households "household" 75 40 5 601 602
 3 4 households "household" 76 4 68 348 349
 3 4 households "household" 76 77 35 336 339
 3 4 households "household" 76 28 9 1024 1027
 3 4 households "household" 76 22 13 403 402
 3 5 households "household" 77 4 22 437 439
 3 5 households "household" 77 10 16 688 689
 3 6 households "household" 78 41 28 1087 1085
 3 6 households "household" 78 15 25 1180 1181
 3 7 households "household" 79 3 31 390 388
 3 8 schools "school" 80 16 11 689 803
