"date","day","incidence"
1995-12-28,0,0.05
1996-02-01,35,0.08
1996-03-07,70,0.144
1996-04-11,105,0.112
1996-05-16,140,0.144
1996-06-20,175,0.06
1996-07-25,210,0.004
1996-08-29,245,0.008
1996-10-03,280,0.008
1996-11-07,315,0.056
1996-12-12,350,0.056
1997-01-16,385,0.168
1997-02-20,420,0.132
1997-03-27,455,0.096
1997-05-01,490,0.132
1997-06-05,525,0.108
1997-07-10,560,0.04
1997-08-14,595,0.064
1997-09-18,630,0.004
1997-10-23,665,0
1997-11-27,700,0.004
1998-01-01,735,0.009
1998-02-05,770,0.024
1998-03-12,805,0.172
1998-04-16,840,0.084
1998-05-21,875,0.108
1998-06-25,910,0.064
1998-07-30,945,0.032
1998-09-03,980,0.02
1998-10-08,1015,0.024
1998-11-12,1050,0.028
1998-12-17,1085,0.032
